Date,Open,High,Low,Close,Adj Close,Volume
2017-05-29,26.290001,27.379999,25.920000,26.910000,26.618671,391100
2017-06-05,26.900000,26.930000,26.100000,26.559999,26.272461,326700
2017-06-12,26.530001,27.120001,26.530001,26.920000,26.628565,540200
2017-06-19,26.990000,27.160000,26.400000,26.629999,26.341703,438500
2017-06-26,26.639999,27.080000,26.610001,26.959999,26.668131,304900
2017-07-03,27.000000,27.420000,26.510000,26.879999,26.588997,286900
2017-07-10,26.870001,27.209999,26.200001,26.700001,26.410948,318300
2017-07-17,26.690001,27.049999,26.110001,26.389999,26.104301,471300
2017-07-24,26.379999,27.059999,23.590000,24.910000,24.640324,1232300
2017-07-31,24.900000,25.080000,24.340000,24.620001,24.353466,634400
2017-08-07,24.610001,24.910000,23.730000,24.219999,23.957794,430100
2017-08-14,24.270000,24.650000,23.670000,24.150000,23.937365,341900
2017-08-21,24.139999,24.959999,23.770000,24.389999,24.175249,457300
2017-08-28,24.420000,24.580000,23.910000,24.299999,24.086040,635200
2017-09-04,24.280001,24.500000,23.150000,23.309999,23.104759,564600
2017-09-11,23.370001,24.469999,23.370001,23.920000,23.709389,717800
2017-09-18,23.950001,25.129999,23.889999,24.969999,24.750145,737500
2017-09-25,25.000000,26.059999,24.959999,25.600000,25.374598,564300
2017-10-02,25.620001,26.160000,25.469999,25.530001,25.305214,443700
2017-10-09,25.469999,25.709999,25.270000,25.320000,25.097063,215100
2017-10-16,25.299999,25.510000,24.700001,24.709999,24.492432,392200
2017-10-23,24.660000,25.959999,23.600000,25.580000,25.354773,877900
2017-10-30,25.610001,26.059999,25.219999,25.740000,25.513363,388300
2017-11-06,25.620001,25.840000,24.879999,24.889999,24.670849,338500
2017-11-13,24.850000,25.280001,24.459999,24.969999,24.824528,513300
2017-11-20,24.959999,25.200001,24.549999,24.740000,24.595867,231400
2017-11-27,24.740000,26.030001,24.740000,25.670000,25.520449,481500
2017-12-04,25.889999,26.780001,25.709999,26.629999,26.474857,864200
2017-12-11,26.639999,26.660000,25.830000,26.209999,26.057302,487500
2017-12-18,26.379999,26.500000,25.530001,25.750000,25.599983,480300
2017-12-25,25.770000,26.170000,25.590000,25.709999,25.560217,203000
2018-01-01,25.719999,26.709999,25.570000,26.420000,26.266079,425200
2018-01-08,26.420000,26.809999,26.010000,26.600000,26.445030,502700
2018-01-15,26.660000,27.139999,25.709999,26.110001,25.957888,586400
2018-01-22,26.080000,27.670000,25.790001,26.990000,26.832760,572200
2018-01-29,27.000000,27.010000,26.080000,26.290001,26.136839,1071000
2018-02-05,26.230000,26.580000,25.150000,25.770000,25.619867,693700
2018-02-12,25.690001,27.900000,25.260000,27.639999,27.558960,582700
2018-02-19,27.490000,27.830000,27.080000,27.510000,27.429342,281300
2018-02-26,27.799999,28.150000,27.139999,27.850000,27.768345,561800
2018-03-05,27.850000,28.270000,27.450001,28.100000,28.017612,447400
2018-03-12,28.290001,28.570000,27.940001,28.410000,28.326704,680800
2018-03-19,28.410000,28.770000,27.430000,27.440001,27.359549,387300
2018-03-26,27.740000,28.070000,27.270000,27.660000,27.578901,315100
2018-04-02,27.610001,28.200001,27.010000,27.760000,27.678610,699300
2018-04-09,27.940001,28.110001,27.480000,27.840000,27.758375,445700
2018-04-16,28.000000,28.549999,27.930000,28.450001,28.366587,558000
2018-04-23,28.459999,28.959999,26.559999,26.850000,26.771278,959500
2018-04-30,26.770000,26.950001,25.450001,26.080000,26.003534,1346200
2018-05-07,26.049999,26.490000,25.360001,25.700001,25.624649,447600
2018-05-14,25.700001,25.790001,25.180000,25.549999,25.549999,556500
2018-05-21,25.590000,25.760000,24.850000,25.160000,25.160000,569000
2018-05-29,24.990000,25.400000,24.928900,24.980000,24.980000,8468
